,File name,Addressee,Start sample,End sample,features
88533,130604020631734537.WAV,-207,192859,475984,"[-512.15283, -10.829222, -19.25156, -4.445273, 12.125214, 2.5286076, 13.335422, 10.750991, -0.43199894, -2.5889144, -0.9201171, 2.068141, 6.4883027, 3.676665, 1.5652963, 2.708207, -0.032304097, -2.0460484, 1.1024047, 3.3251588, 3.3316753, 1.6916025, -2.742609, -3.5407045, 0.54270315, 3.7738583, 2.939388, 2.4411328, -0.67957115, -1.1560868, 0.1233486, 0.7018397, 1.1643053, 2.4609027, 0.21948162, -0.9585758, -0.052568052, -0.029847544, -0.6126507, 0.20458823, 0.6214956, -0.66159517, -0.4214567, 0.17699826, -0.64734054, -0.8186062, -0.75263363, -1.1980435, -1.1314313, -0.75707155, -1.3080629, -0.8237654, 0.030832348, -0.72724086, -1.3380104, -0.50271463, -0.74304724, -0.9955075, -0.10610199, 0.21840908, -0.6155608, -0.48712015, -0.30195805, -0.46882373]"
88534,130604020636292538.WAV,-207,1,426832,"[-494.76663, -16.507347, -31.79605, 3.8203511, 14.344718, 1.9507916, 12.390929, 11.264926, -0.74725384, -4.038741, -0.76380056, 2.7066479, 6.56574, 3.6445746, 2.1030078, 2.3406126, -0.5633918, -1.8125072, 3.1841528, 4.3449235, 2.9118454, 0.24494715, -3.2947445, -1.8757547, 0.7631292, 2.666835, 2.2991748, 2.5817742, -0.7391753, -1.3015343, 0.5074377, 0.8056563, 0.8739351, 2.2275624, 0.5706163, -0.71423125, -0.50145316, -0.06734468, -0.1650994, 0.07347168, 0.5346888, -0.5571841, -0.50987357, 0.67866147, -0.6880336, -1.1524422, -0.7831199, -1.157244, -1.1347831, -1.2319511, -1.279815, -0.65250576, -0.0025744725, -0.49906933, -1.3114629, -0.5773344, -0.72568583, -0.554173, -0.18770723, -0.06502489, -0.5586926, -0.47032496, -0.41166818, -0.57134753]"
88535,130604020735344275.WAV,-231,1,443216,"[-520.7972, -14.187459, -21.079447, -4.98059, 9.9118185, -6.5922165, 4.1407495, 11.286401, 5.807337, 1.1604648, 0.6318981, -3.8306746, -5.3397636, -2.098951, 1.2056338, 2.7003195, 4.4703674, 3.4515316, 0.990857, -1.2869387, -4.362151, -4.5216184, -1.4725581, 3.5362625, 4.526326, 2.9273684, 1.3522326, -0.65189534, -2.868294, -2.2019494, -0.7866937, 1.4973135, 2.497946, 1.0489551, -0.70600903, -0.9237239, -0.93488735, -0.8033323, -0.49906006, 0.7486984, 0.97509843, 0.30630332, 0.07354071, 0.21582274, -0.47852486, -0.26575467, 0.046980537, -0.20465165, -0.8563544, -1.0905496, -0.76589376, 0.10315202, 0.5658342, -0.076959684, -0.7029615, -0.31285807, -0.28459933, -0.17707172, -0.12277356, -0.015156057, -0.02184545, 0.5235938, 0.6768266, 0.27208441]"
88536,130604021332466127.WAV,-211,1,328528,"[-510.67325, -20.874939, -7.5294366, 4.863863, 6.811671, -7.926473, 8.66003, 7.907531, -5.275318, 0.5225373, 10.732077, 4.258068, -2.002903, -3.0937314, -0.6474229, 3.351822, 1.6243136, -2.9243295, -2.50175, 1.4041121, 3.5712502, 5.3598895, 1.9568536, -3.743228, -2.4981215, 3.1945112, 1.6936704, -1.8769253, -2.2227597, -0.7855315, 2.0158148, 3.9816222, 0.1491631, -2.1318614, -0.93842363, 0.30273068, 0.7751299, -0.10656876, -2.2321408, -1.1161838, 1.3853122, 1.5705944, -0.13325931, 0.29503638, -0.6973314, -1.6849157, 0.46010354, 0.86581224, -0.9445109, -1.2376733, -1.1399137, -0.75706446, -0.040359367, 0.1414884, -1.1035641, -0.75756824, 0.519587, 0.987534, 1.0247425, -0.35427272, -1.4510918, -0.8114715, 0.6880715, 0.33834544]"
88537,130604021757250546.WAV,-207,1,688976,"[-506.2573, -10.923477, -22.375343, -2.8849916, 12.425264, 2.7824845, 12.370064, 8.780652, -0.39938912, -3.3709157, -1.594896, 2.7196167, 6.7568502, 3.7335827, 0.3066025, 1.4132829, 0.45199192, -1.592547, 1.1069729, 3.2292485, 3.1772192, 1.6087625, -2.5508857, -3.298783, 0.12655595, 3.295971, 2.6416192, 2.018959, -0.40368173, -1.1140101, -0.22527789, 1.0315276, 1.2489285, 2.100371, 0.4385169, -1.244472, -0.41143173, 0.42827898, -0.51471925, 0.12105327, 0.6459152, -0.3899232, -0.31974936, 0.11692667, -0.59928745, -0.8248884, -0.6254841, -1.0292656, -1.1501503, -0.87857485, -1.1353434, -0.5891224, -0.15723981, -0.53634953, -1.0617303, -0.6345156, -0.7862889, -0.6589107, 0.07049709, 0.18775511, -0.5536737, -0.4618379, -0.30368587, -0.49630955]"
88538,130604021952081547.WAV,-221,1,475984,"[-476.19968, -21.240898, -43.694298, 9.257176, 15.959324, 3.5497248, 8.760873, 7.9027658, 1.1088188, -4.136749, -1.5246322, 4.458604, 7.4868, 4.31797, 0.8654614, 0.56450623, 0.65681046, -0.28736722, 0.61433274, 1.8809023, 3.551062, 2.2151427, -2.3334773, -2.7594361, 0.69275033, 3.3442814, 2.8900626, 2.124737, -1.7317195, -1.0909568, -0.17432041, 0.9536518, 0.99936265, 1.7688532, 0.51507485, -0.425582, -0.6160893, -0.042684708, -0.19606225, 0.33450708, 1.0274596, -0.67925274, -0.41711196, -0.38407284, -0.07185427, -0.7572084, -0.89302045, -1.1369911, -1.1783828, -0.61446667, -0.947173, -0.36835232, -0.4927546, -0.62601346, -1.0576885, -0.64164567, -0.8936464, -0.89608747, -0.028489446, 0.25097448, -0.7694663, -0.7484475, 0.052002758, -0.23127075]"
88539,130604022520911294.WAV,-208,1,369488,"[-516.7782, -10.3238535, -15.168379, 2.2119188, 14.400769, -0.85234547, 9.752135, 15.1769285, 10.514689, 7.1792736, 6.289502, -0.20521092, -1.9000188, 2.6088178, 6.1127043, 5.9113655, 6.280786, 5.910831, 5.113153, 2.6877644, -1.5252165, -2.93193, -0.3123215, 5.645688, 7.2083907, 5.28565, 2.3289075, 0.05270685, -1.8499393, -1.1167791, -0.38753265, 1.1960521, 2.8726752, 1.216649, -1.0061557, -0.800812, -1.3730239, -1.7244433, -1.3509295, -0.16692895, 0.12939249, -0.23742707, -0.49342567, -1.0945886, -2.1175554, -1.3484668, -0.66501653, -1.4766847, -2.1951528, -2.2373168, -2.1346927, -1.3341292, -0.48763785, -0.7147132, -1.5623776, -1.2139876, -1.2427549, -0.95107764, -0.6866291, -0.62840754, -0.4198534, 0.11304756, 0.5861968, 0.31055373]"
88540,130604023842042208.WAV,-215,1,328528,"[-513.92505, -18.784079, -2.4570186, 6.162693, 8.271705, -7.558999, 8.942952, 10.211641, -3.2549958, 1.8482921, 12.059867, 5.973596, -0.06953083, -1.6038339, 0.05876792, 3.5069594, 2.2753978, -2.0063992, -0.86814827, 3.5537245, 4.6691628, 5.2150292, 2.0421698, -3.272896, -1.848088, 3.8600237, 1.6432221, -1.9858623, -2.04919, -0.9168594, 2.060123, 3.8708153, 0.07436763, -1.7586476, -0.74659896, 0.053451248, 0.7588962, -0.21883713, -2.483812, -1.0748664, 1.4765686, 1.1750846, -0.6840725, 0.22391705, -0.8223404, -1.7103865, 0.037440185, 0.41128603, -1.2659646, -1.5023643, -1.2205474, -0.87699497, -0.31864032, -0.13158989, -1.4103302, -0.7819612, 0.48497546, 0.99509454, 1.0817693, -0.28003788, -1.5030931, -0.95008874, 0.7094374, 0.5097333]"
88541,130604025333962211.WAV,220,1,369488,"[-502.23325, -24.280376, -11.859358, 11.408904, 8.4799385, -8.129455, 7.617603, 8.349799, -4.3064528, 0.7646395, 9.617589, 4.37128, 0.31467563, -1.9802549, -0.5179114, 2.52339, 2.5777752, -1.1137841, -1.2000538, 1.5302259, 3.050817, 4.871023, 1.4863657, -3.3516848, -2.232759, 3.1693485, 1.5599318, -0.9728503, -1.800671, -1.1695465, 1.6608005, 3.3457057, 0.24394958, -1.2775313, -0.59549856, 0.059214953, 0.5866601, -0.10940209, -2.0261786, -0.6377043, 1.4034044, 1.1002355, -0.42138544, 0.22033344, -0.71745896, -1.4104427, 0.15411815, 0.28204182, -1.1707766, -1.1045341, -0.9262582, -0.66691357, -0.26700142, -0.12750693, -1.030944, -0.5959395, 0.23985267, 0.68201137, 0.88416886, -0.26340926, -1.3059837, -0.76575315, 0.6105274, 0.418259]"
88542,130604025345553212.WAV,208,1,680784,"[-484.84586, -24.5518, -28.824083, 15.302302, 16.507105, -10.957499, 4.2366686, 7.008488, -2.7975848, 2.3576968, 8.044505, 3.3838773, 1.2252942, -0.98755646, -1.1150864, 1.4518638, 2.8302262, -0.013677175, -0.6655881, 2.0481386, 4.208974, 5.181828, 0.9019174, -2.9746556, -1.9081174, 2.1400177, 1.0217307, -0.49338728, -2.1215665, -1.8953584, 2.0251641, 3.5428717, -0.023772068, -1.4104728, -0.53854036, 0.60559946, 0.8738908, -0.25278348, -2.248123, -0.6420069, 1.8146225, 1.2549344, -0.44596434, 0.1836833, -0.8937333, -1.3514091, 0.1917474, 0.0827566, -1.2096988, -1.1568062, -1.3242313, -1.0224683, -0.16644274, -0.18483064, -1.1214378, -0.5384912, 0.4793244, 0.79223526, 0.7871541, -0.17627999, -1.1533322, -0.7463739, 0.49843374, 0.37636402]"
88543,130604025800420598.WAV,-221,1,344912,"[-503.11, -14.625142, -24.305542, 0.7724892, 11.003082, 2.3670447, 12.50397, 8.4674635, -0.6912984, -2.8304944, -1.4376068, 4.003013, 8.127537, 3.4305177, 0.82987046, 1.7440699, 0.47215584, -1.5982798, 1.119073, 3.636926, 3.921397, 1.8125519, -2.5595858, -3.3173647, -0.16458122, 3.3406262, 3.02425, 2.0729244, -0.24475561, -1.0919722, -0.92698944, 0.79158014, 1.5371749, 2.4242709, 0.2274237, -1.3591536, 0.0061185453, 0.58090335, -0.56809783, 0.047202576, 0.90708876, -0.5571574, -0.472229, 0.16823998, -0.54714316, -0.9543305, -0.86719835, -1.0962747, -1.1645468, -0.87008005, -1.0981108, -0.64726907, -0.12547055, -0.6289925, -1.4079244, -0.57366633, -0.6375832, -0.84654546, -0.13201526, 0.13429831, -0.6316273, -0.58797103, -0.36475885, -0.4392768]"
88544,130604025801887599.WAV,-221,1,320336,"[-511.6238, -11.795709, -18.726685, -3.0114324, 10.89548, 4.206172, 14.106396, 9.36227, -2.071627, -3.6032434, -0.32095975, 3.3829045, 7.9785647, 4.16617, 0.88967836, 1.3278538, 0.25233078, -1.50105, 2.1198428, 4.298211, 2.3029263, 0.915985, -2.0101283, -2.7941225, 0.0035213435, 3.4460518, 2.7564929, 2.1307404, 0.14572047, -1.5858232, 0.036078237, 1.2197287, 0.5865394, 2.0112734, 0.98616296, -0.8457884, -0.45021608, 0.15825, -0.8952732, 0.3882963, 0.65442634, -0.71982545, -0.3865751, -0.036550406, -0.55016565, -0.7170878, -0.8837995, -1.2656976, -1.027606, -0.75571215, -1.4184923, -0.8236848, 0.11028313, -0.6597706, -1.2866912, -0.62093115, -0.6858812, -0.8272492, 0.031322595, 0.14038156, -0.6898443, -0.5213959, -0.3021143, -0.51125836]"
88545,130604025806514600.WAV,-221,1,402256,"[-507.4048, -12.098354, -19.704046, 0.14333214, 12.238943, 3.8780599, 14.420936, 10.300374, -0.19603896, -2.6498375, -1.3336915, 3.3242946, 8.034507, 4.2132196, 1.5994744, 2.4720552, 0.14105217, -1.3201996, 2.429693, 4.3331957, 3.9548874, 1.8486384, -2.7366474, -3.0474246, 0.5188521, 3.5444744, 3.4017475, 2.941764, -0.18442515, -1.4084427, -0.77845657, 0.9963521, 1.7526122, 2.5365086, -0.051836204, -1.5582234, 0.073255785, 0.55742246, -0.7907026, -0.017405007, 0.80866164, -0.52845025, -0.58701277, 0.2043723, -0.5569668, -1.3512218, -1.1772302, -1.2635784, -1.2519141, -1.1361544, -1.5659729, -0.99963397, -0.31403065, -0.7773279, -1.4276729, -0.74890524, -0.766199, -0.9055002, -0.1497158, 0.18181865, -0.6162995, -0.4079841, -0.42354438, -0.69305634]"
88546,130604025809797601.WAV,-221,1,320336,"[-514.01807, -9.542735, -16.915445, -3.4445972, 12.16947, 3.8414998, 14.454821, 9.895154, -0.651496, -3.1461046, 0.031166954, 3.9866183, 8.044058, 3.5867362, 0.5019501, 2.5824873, 0.46450505, -1.6732758, 2.3696315, 4.9000654, 3.6146438, 1.7250637, -2.2516067, -3.0749729, 0.41904393, 3.7595742, 3.6153889, 2.8660326, 0.21393412, -1.6010662, -0.86058086, 0.96175677, 1.7535921, 2.7670088, 0.13744552, -1.7206918, -0.2672663, 0.6455323, -0.9625362, -0.07089372, 0.660755, -0.61996424, -0.45299175, 0.22115731, -0.7871371, -1.1528877, -1.073295, -1.1419337, -1.3367587, -1.1892235, -1.6432025, -1.0827131, -0.18724214, -0.8367178, -1.360553, -0.8602651, -0.99577844, -0.7907138, 0.06611437, -0.07071729, -0.9053056, -0.44383508, -0.30151922, -0.66261977]"
88547,130604025821185602.WAV,-221,1,713552,"[-482.0616, -16.563963, -38.40949, 5.4987383, 13.883553, 2.2397788, 8.955375, 6.3036127, -0.69255024, -2.2849836, -0.7286485, 3.09961, 7.315622, 3.575791, 1.1584322, 1.5986626, 0.35677555, -1.0002627, 0.59780896, 2.5006227, 3.7622235, 1.6913887, -2.5732827, -2.1310408, 0.72039735, 2.538235, 2.2018683, 2.1191533, -0.30690074, -1.4067856, -0.87072885, 0.83264536, 0.89657456, 2.4244554, 0.28318778, -1.4931473, -0.22399586, 0.32444733, -0.046202376, 0.47107372, 0.72907907, -0.6287012, -0.28034583, -0.03494359, -0.43392372, -0.5776655, -0.91878647, -1.0292943, -0.71537304, -0.6727286, -0.94967455, -0.7680207, -0.19532011, -0.21315825, -1.1479517, -0.7166287, -0.78164315, -0.6887955, -0.037860468, -0.04816485, -0.55793095, -0.3253791, -0.191977, -0.4492979]"
88548,130604025831652603.WAV,-221,1,385872,"[-487.09656, -18.603298, -31.996674, 4.9189286, 11.704814, 4.3521743, 10.188198, 7.3375864, -0.90559405, -2.0986612, -0.56992906, 4.1878767, 8.570429, 4.0915465, 0.38271227, 1.0786308, 0.10187748, -0.9284137, 2.1174924, 4.016974, 4.013587, 1.5250568, -2.7391176, -2.9156964, -0.0030128115, 3.6252267, 2.5810158, 2.1832418, -0.4263636, -1.25056, -0.5313616, 1.0233002, 1.0988245, 2.0231879, 0.14620003, -1.125261, 0.096623436, 0.13918644, -0.6387783, 0.26281875, 1.1723987, -0.6309742, -0.4883005, -0.12296355, -0.62660813, -0.7993386, -0.9376307, -1.2863948, -0.89428425, -0.72094434, -1.1575599, -0.8322892, -0.29488355, -0.25706723, -1.2458017, -0.71990395, -0.79065907, -0.9096962, -0.12767833, 0.067814864, -0.67555827, -0.41297197, -0.3128686, -0.5402124]"
88549,130604025833490604.WAV,-221,1,320336,"[-515.03937, -10.162264, -14.932392, -3.632501, 11.044383, 3.5632951, 13.840938, 10.02115, -0.5502752, -3.5994449, -1.0246781, 4.2568436, 8.692758, 3.4456198, 0.30512726, 2.6821637, 1.0039194, -1.4461818, 1.1281843, 3.880035, 3.959517, 1.7743098, -2.862316, -3.8546731, -0.08882692, 3.4804828, 3.2412846, 2.6967313, -0.068677954, -1.6897439, -0.5005993, 1.4012079, 1.812603, 2.4391441, 0.051549315, -1.6613193, -0.11689032, 0.5677727, -0.92837924, -0.06120859, 0.78549975, -0.5524445, -0.51800954, 0.3273661, -0.6178197, -1.0080756, -1.0627841, -1.3409654, -0.97596747, -0.77634144, -1.4790008, -0.9242572, 0.03742472, -0.40681317, -1.1769706, -0.7517036, -0.75979966, -0.8219476, -0.22287716, 0.059836432, -0.6506794, -0.6076402, -0.5350731, -0.6909816]"
88550,130604025929885605.WAV,-221,1,394064,"[-502.68124, -12.685413, -25.246456, -2.1872761, 12.334875, 3.1095846, 11.504532, 7.999368, -2.2731767, -3.5632749, -0.714186, 3.039684, 6.975054, 3.0862076, 0.41092932, 1.4996644, 0.17877312, -1.606526, 0.56799036, 3.4362066, 3.4022062, 1.3645701, -3.1644614, -3.72918, -0.08979591, 2.9669466, 2.67769, 2.5582893, -0.20040303, -1.7234929, -0.48466656, 1.0697342, 1.0178721, 2.1308858, 0.470059, -0.9467038, -0.20950003, 0.16468546, -0.47031447, 0.4583829, 1.0941241, -0.6890716, -0.41695204, 0.41228476, -0.37675834, -0.8000875, -0.9822644, -1.0400172, -0.7423992, -0.5131396, -1.1396682, -0.7729345, 0.08702725, -0.35853946, -1.0115949, -0.56994075, -0.7347607, -0.75666773, -0.12531352, 0.008822503, -0.6827605, -0.49179524, -0.43617767, -0.49740478]"
88551,130604025950334606.WAV,-221,1,328528,"[-511.03455, -10.395694, -18.778065, -3.817627, 12.116619, 3.8885121, 13.394263, 9.001733, -0.98723155, -2.3818345, -0.98132384, 2.9495792, 7.5005136, 3.2650912, 0.583125, 3.1060808, 0.93456614, -1.7894114, 0.73186636, 3.333484, 3.6227202, 1.8306086, -2.2792456, -3.3019783, -0.1409547, 3.4176462, 3.177972, 2.2125914, -0.58286905, -1.8253889, -0.5663667, 1.2263716, 1.3890907, 2.373264, 0.25313944, -1.3180602, -0.20993073, 0.33403182, -0.53555536, 0.40684533, 0.81817275, -0.7361106, -0.59015816, 0.24325421, -0.43190977, -0.8715365, -0.9919232, -1.1017392, -0.78791517, -0.73338854, -1.4063418, -0.8929124, 0.0057523022, -0.40570602, -1.0993893, -0.6844591, -0.7976336, -0.8128932, -0.08633088, 0.0647099, -0.6157325, -0.35149187, -0.27175418, -0.5062819]"
88552,130604025951829607.WAV,-221,1,328528,"[-515.4945, -8.419034, -14.931349, -4.6854763, 11.667225, 3.815821, 13.993821, 9.981018, -0.6549843, -3.2055678, -0.70034355, 3.8100586, 8.300108, 3.3014843, 0.40138027, 3.1298242, 1.0193276, -1.8497363, 1.127897, 3.6183443, 3.3062048, 1.6218737, -3.0352707, -3.8832963, 0.18318428, 3.701133, 3.3365192, 2.6988149, 0.036186337, -1.3573893, -0.31440026, 1.1852618, 1.56233, 2.576699, 0.4562258, -1.3011186, -0.037580468, 0.5595486, -0.80646086, -0.032013178, 0.8750213, -0.4527775, -0.67339754, 0.033426277, -0.62474465, -0.9189897, -1.1470433, -1.3371078, -1.093409, -0.86586964, -1.4335711, -0.8945068, -0.017598826, -0.6294242, -1.3875495, -0.6722606, -0.76624745, -0.9528385, -0.35829037, -0.058029972, -0.73356247, -0.5994822, -0.45131582, -0.64111924]"
